PMID	DOI	Title	Year	PublicationTypes
2304755	NA	Endolymphatic sac morphology following long-term kanamycin intoxication.	1990	Journal Article
2299966	NA	Ultrastructural studies of the peripheral extensions (dendrites) of type I ganglion cells in the cat.	1990	Journal Article
1974248	NA	Potassium induced release of GABA and other substances from the guinea pig cochlea.	1990	Journal Article
2340120	NA	Concentration of salicylate in serum and perilymph of the chinchilla.	1990	Comparative Study
2176134	NA	High-dose cisplatin and mitomycin C in advanced non-small cell lung cancer: a phase II study of the Northern California Oncology Group.	1990	Clinical Trial
2203957	NA	Structural changes in the round window membrane following exposure to Escherichia coli lipopolysaccharide and hydrocortisone.	1990	Journal Article
2126091	NA	Retinoid-induced ear malformations.	1990	Journal Article
2102477	NA	Potentiation of inner ear damage following electron beam irradiation with CDDP administration.	1990	Journal Article
2360443	NA	Delay in hearing loss following drug administration. A consistent feature of amikacin ototoxicity.	1990	Journal Article
2160140	NA	Ototoxic and nephrotoxic drugs inhibit agonist-induced inositol phosphate formation in rat brain synaptoneurosomes.	1990	Journal Article
2181152	NA	Cisplatin combined with carboplatin: a new way of intensification of platinum dose in the treatment of advanced ovarian cancer. Belgian Study Group for Ovarian Carcinoma.	1990	Journal Article
2097072	NA	Gentamicin-induced chronotoxicity: use of body temperature as a circadian marker rhythm.	1990	Journal Article
2311443	NA	Comparative ototoxicity of ribostamycin, dactimicin, dibekacin, kanamycin, amikacin, tobramycin, gentamicin, sisomicin and netilmicin in the inner ear of guinea pigs.	1990	Comparative Study
2307023	NA	Aminoglycoside dosing regimen and pharmacokinetic parameters in the guinea pig.	1990	Journal Article
2307024	NA	Relation of dosing regimen to aminoglycoside ototoxicity: evaluation of auditory damage in the guinea pig.	1990	Journal Article
2083073	NA	Neurotoxicity of kainic acid in the rat cochlea during early developmental stages.	1990	Journal Article
2393560	NA	The impact of different dosing regimens of the aminoglycosides netilmicin and amikacin on vestibulotoxicity in the guinea pig.	1990	Comparative Study
2309560	NA	Intermediate filament proteins in the embryonic inner ear of mice under normal conditions and after exposure to ototoxic drugs.	1990	Journal Article
2310548	NA	The effect of taurine supplementation on the ototoxicity of neomycin in guinea pigs.	1990	Journal Article
2375861	NA	Shifts in auditory brainstem response latencies following plasma-level-controlled aminoglycoside therapy.	1990	Journal Article
2294943	NA	Augmented gentamicin ototoxicity induced by vancomycin in guinea pigs.	1990	Journal Article
2406680	NA	Quinine-induced hearing loss.	1990	Case Reports
2299959	NA	Changes in auditory function associated with 2-cyano-butyl-acrylate adhesive implanted in the middle ear of experimental animals.	1990	Journal Article
2406922	NA	Carboplatin in the first-line chemotherapy of ovarian cancer.	1990	Clinical Trial
2407811	NA	High-dose cisplatin combination chemotherapy in the treatment of advanced epithelial ovarian carcinoma.	1990	Clinical Trial
2306798	NA	High-dose cisplatin in disseminated melanoma: a comparison of two schedules.	1990	Comparative Study
2287773	NA	Safety, pharmacokinetics and efficacy of once-a-day netilmicin and amikacin versus their conventional schedules in patients suffering from pelvic inflammatory disease.	1990	Clinical Trial
2155064	NA	Etoposide, carboplatin, cyclophosphamide and vincristine in previously untreated patients with small-cell lung cancer.	1990	Journal Article
2153024	NA	Effect of topical fosfomycin on polymyxin B ototoxicity.	1990	Journal Article
2134738	NA	Ototoxic effect of cisplatin in children with brain tumors.	1990	Journal Article
2109593	NA	Inhibition of tumor promotion by DL-alpha-difluoromethylornithine, a specific irreversible inhibitor of ornithine decarboxylase.	1990	Journal Article
2108113	NA	Does administration of an aminoglycoside in a single daily dose affect its efficacy and toxicity?	1990	Clinical Trial
2080997	NA	Recurrence risks for near relatives of children with sensori-neural deafness.	1990	Journal Article
2206854	NA	A pilot study of high-dose carboplatin and pulsed etoposide in the treatment of childhood solid tumors.	1990	Journal Article
2282220	NA	Electrophysiological effects of the clinically used local anesthetics lidocaine, lidocaine-prilocaine and phenol on the rat's inner ear.	1990	Journal Article
2206855	NA	Acute onset deafness in a 4-year-old girl after a single infusion of cis-platinum.	1990	Case Reports
2209642	NA	Phase II study of carboplatin and cyclophosphamide combination chemotherapy for the treatment of advanced ovarian cancer.	1990	Journal Article
2233516	NA	Clinical trial and pharmacokinetics of carboplatin 560 mg/m2 in children.	1990	Journal Article
2274318	NA	Effect of dosing schedule on aminoglycoside ototoxicity: comparative cochlear ototoxicity of amikacin and isepamicin.	1990	Comparative Study
2380834	NA	Vision and hearing during deferoxamine therapy.	1990	Journal Article
2275640	NA	Changes of stapedius reflex and hearing threshold in patients receiving high-dose cisplatin treatment.	1990	Case Reports
2097713	NA	Efficacy and safety of aminoglycosides once-a-day: experimental and clinical data.	1990	Journal Article
2116404	NA	Cochlear damage and increased threshold in alpha-difluoromethylornithine (DFMO) treated guinea pigs.	1990	Journal Article
2201541	NA	Differences in side effects between a conventional carbamazepine preparation and a slow-release preparation of carbamazepine.	1990	Clinical Trial
2146231	NA	Multiple-dose, double-blind, placebo controlled intravenous tolerance and pharmacokinetic study of trospectomycin sulfate (U-63, 366F) in healthy male volunteers.	1990	Clinical Trial
2394774	NA	Long term treatment with CV 205-502 in patients with prolactin-secreting pituitary macroadenomas.	1990	Journal Article
2173440	NA	High-dose carboplatin in combination with etoposide (JET regimen) for childhood brain tumors.	1990	Journal Article
2216198	NA	Topical podofilox for the treatment of condylomata acuminata in women.	1990	Clinical Trial
2265236	NA	Pharmacokinetics of promazine: I. Disposition in patients with acute viral hepatitis B.	1990	Journal Article
2096500	NA	Audiometry as a possible indicator of quinine plasma concentration during treatment of malaria.	1990	Journal Article
2256875	NA	Use of phenytoin in the prevention of motion sickness.	1990	Clinical Trial
2102145	NA	Clinical experience with pefloxacin in patients with urinary tract infections.	1990	Journal Article
2121846	NA	Side effects of praziquantel in bilharzial children on a field level.	1990	Clinical Trial
2150907	NA	Human safety and pharmacokinetics of a single intramuscular dose of a novel spectinomycin analog, trospectomycin (U-63,366F).	1990	Clinical Trial
2075482	NA	Phase III double-blind comparative study of Fansimef and Lariam for the curative treatment of Plasmodium falciparum infections in Thailand.	1990	Clinical Trial
2177606	NA	Cisplatin rescue therapy: experience with sodium thiosulfate, WR2721, and diethyldithiocarbamate.	1990	Journal Article
2382175	NA	A prospective study of long-term use of amikacin in a paediatrics department. Indications, administration, side-effects, bacterial isolates and resistance.	1990	Journal Article
2168271	NA	Efficacy of niclosamide against aboriginal taeniasis in Taiwan.	1990	Journal Article
2335410	NA	Propafenone in the prevention of non-ventricular arrhythmias associated with the Wolff-Parkinson-White syndrome.	1990	Journal Article
1974428	NA	Pharmacokinetics and acute toleration of the beta-carboline derivative abecarnil in man.	1990	Journal Article
2357958	NA	Nifedipine as an add-on drug in the management of refractory epilepsy.	1990	Journal Article
2142231	NA	Review of the pharmacological properties of toremifene.	1990	Journal Article
2387286	NA	Multiple-dose pharmacokinetic study with a slow-release carbamazepine preparation.	1990	Clinical Trial
2217517	NA	Sodium arsanilate-induced vestibular dysfunction in rats: effects on open-field behavior and spontaneous activity in the automated digiscan monitoring system.	1990	Journal Article
2228077	NA	Efficacy of indomethacin suppository in primary dysmenorrhoea.	1990	Clinical Trial
2197052	NA	Nephrotoxic and ototoxic agents.	1990	Journal Article
2362393	NA	Mental disorders induced by carbamazepine.	1990	Case Reports
2167955	NA	Modification of cisplatin toxicity with diethyldithiocarbamate.	1990	Journal Article
2277804	NA	Gentamicin ototoxicity: histological and ultrastructural alterations after transtympanic administration.	1990	Journal Article
2221611	NA	Ceftazidime/clindamycin versus tobramycin/clindamycin in the treatment of intra-abdominal infections.	1990	Clinical Trial
2281204	NA	Studies on age-dependent plasma platinum pharmacokinetics and ototoxicity of cisplatin.	1990	Journal Article
2208023	NA	A phase I trial of cisplatin in hypertonic saline and escalating doses of 5-fluorouracil by continuous intravenous infusion in patients with advanced malignancies.	1990	Journal Article
2208024	NA	Effect of intraarterial versus intravenous cisplatin in addition to systemic doxorubicin, high-dose methotrexate, and ifosfamide on histologic tumor response in osteosarcoma (study COSS-86).	1990	Clinical Trial
2079453	NA	Aminoglycoside toxicity following antibiotic prophylaxis in cardiac surgery.	1990	Case Reports
2271781	NA	Sensorineural hearing loss associated with vincristine treatment.	1990	Case Reports
2285060	NA	Inner ear effects of topical gentamicin treatment in patients with Menière's disease.	1990	Case Reports
