PubChem_CID	name	iupac_name	inchi_key	References	ototoxicity_sum	abs_sum	score	class
2244	Aspirin	2-acetyloxybenzoic acid	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	41462666, 41539356, 39965236, 40188564, 39530276, 35773430, 35894537, 34975405, 34604960, 31484660, 30173984, 30445361, 29861128, 28770976, 29128692, 27548570, 26719956, 27703829, 26733809, 24453035, 21361438, 20035128, 19750261, 20193831, 18225604, 17823553, 17653135, 16844331, 17191118, 12023264, 11975840, 10366178, 9035071, 9362035, 8736048, 7989953, 8397891, 1378336, 2029065, 2303582, 3054094, 3245438, 3245438, 3143707, 3113170, 3015857, 3515927, 3492378, 3821433, 3472330, 3755973, 3923568, 6742340, 6436354, 6691886, 6226358, 6363464, 7021070, 7009859, 314982, 366723, 778989, 1169743, 4590669, 4853118	21	65	0.176856998484083	ototoxic
2247	Astemizole	1-[(4-fluorophenyl)methyl]-N-[1-[2-(4-methoxyphenyl)ethyl]piperidin-4-yl]benzimidazol-2-amine	GXDALQBWZGODGZ-UHFFFAOYSA-N	6135121	-1	1	-0.0084217618325753	otoprotective
2249	Atenolol	2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide	METKIMKYRPQLGS-UHFFFAOYSA-N	2894883, 3607820	2	2	0.0168435236651507	ototoxic
2265	Azathioprine	6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine	LMEKQMALGUDUQG-UHFFFAOYSA-N	25166425, 15760792	0	2	0.0	undetermined
2267	Azelastine	4-[(4-chlorophenyl)methyl]-2-(1-methylazepan-4-yl)phthalazin-1-one	MBUVEWMHONZEQD-UHFFFAOYSA-N	3057041	1	1	0.0084217618325753	ototoxic
2273	Azosemide	2-chloro-5-(2H-tetrazol-5-yl)-4-(thiophen-2-ylmethylamino)benzenesulfonamide	HMEDEBAJARCKCT-UHFFFAOYSA-N	4088324	1	1	0.0084217618325753	ototoxic
2284	Baclofen	4-amino-3-(4-chlorophenyl)butanoic acid	KPYSYYIEGFHWSV-UHFFFAOYSA-N	39954116, 36943582, 30740748, 22246977, 22151777, 21890485, 17452577, 16732211, 10656195, 9306242, 8751632, 3492476, 355602, 782159	10	14	0.0842176183257537	ototoxic
2315	Bendroflumethiazide	3-benzyl-1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide	HDWIHXWEUNVBIY-UHFFFAOYSA-N	6359851	1	1	0.0084217618325753	ototoxic
2349	Chebi:17334	3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	JGSARLDLIJGVTE-UHFFFAOYSA-N	29180526, 26930622, 15164960, 7559168, 1629050, 24712	2	6	0.0168435236651507	ototoxic
2351	Bepridil	N-benzyl-N-[3-(2-methylpropoxy)-2-pyrrolidin-1-ylpropyl]aniline	UIEATEWHFDRYRU-UHFFFAOYSA-N	3880521	1	1	0.0084217618325753	ototoxic
